x y z_exact
0.009492 -0.003455 -0.000003
0.009551 -0.003289 -0.000003
0.009607 -0.003121 -0.000002
0.009660 -0.002953 -0.000002
0.009710 -0.002784 -0.000002
0.009757 -0.002614 -0.000002
0.009801 -0.002444 -0.000002
0.009842 -0.002272 -0.000002
0.009880 -0.002100 -0.000002
0.009915 -0.001927 -0.000002
0.009948 -0.001754 -0.000001
0.009977 -0.001580 -0.000001
0.010003 -0.001406 -0.000001
0.010026 -0.001231 -0.000001
0.010046 -0.001056 -0.000001
0.010063 -0.000880 -0.000001
0.010076 -0.000705 -0.000001
0.010087 -0.000529 -0.000000
0.010095 -0.000353 -0.000000
0.010100 -0.000176 -0.000000
0.020202 0.000000 0.000000
0.020199 0.000353 0.000001
0.020190 0.000705 0.000001
0.020174 0.001057 0.000002
0.020153 0.001409 0.000002
0.020125 0.001761 0.000003
0.020091 0.002112 0.000004
0.020051 0.002462 0.000004
0.020005 0.002812 0.000005
0.019953 0.003160 0.000005
0.019895 0.003508 0.000006
0.019831 0.003855 0.000006
0.019761 0.004200 0.000007
0.019684 0.004544 0.000007
0.019602 0.004887 0.000008
0.019514 0.005229 0.000008
0.019419 0.005568 0.000009
0.019319 0.005907 0.000010
0.019213 0.006243 0.000010
0.019101 0.006577 0.000010
0.018984 0.006909 0.000011
0.018860 0.007240 0.000011
0.018731 0.007568 0.000012
0.018596 0.007894 0.000012
0.018455 0.008217 0.000013
0.018309 0.008538 0.000013
0.018158 0.008856 0.000013
0.018000 0.009172 0.000014
0.017837 0.009484 0.000014
0.017669 0.009794 0.000014
0.017496 0.010101 0.000015
0.017316 0.010405 0.000015
0.017132 0.010705 0.000015
0.016943 0.011003 0.000016
0.016748 0.011297 0.000016
0.016549 0.011587 0.000016
0.016344 0.011874 0.000016
0.016134 0.012158 0.000016
0.015919 0.012438 0.000016
0.015700 0.012714 0.000017
0.015476 0.012986 0.000017
0.015247 0.013254 0.000017
0.015013 0.013518 0.000017
0.014775 0.013778 0.000017
0.014532 0.014034 0.000017
0.014285 0.014285 0.000017
0.014034 0.014532 0.000017
0.013778 0.014775 0.000017
0.013518 0.015013 0.000017
0.013254 0.015247 0.000017
0.012986 0.015476 0.000017
0.012714 0.015700 0.000017
0.012438 0.015919 0.000016
0.012158 0.016134 0.000016
0.011874 0.016344 0.000016
0.011587 0.016549 0.000016
0.011297 0.016748 0.000016
0.011003 0.016943 0.000016
0.010705 0.017132 0.000015
0.010405 0.017316 0.000015
0.010101 0.017496 0.000015
0.009794 0.017669 0.000014
0.009484 0.017837 0.000014
0.009172 0.018000 0.000014
0.008856 0.018158 0.000013
0.008538 0.018309 0.000013
0.008217 0.018455 0.000013
0.007894 0.018596 0.000012
0.007568 0.018731 0.000012
0.007240 0.018860 0.000011
0.006909 0.018984 0.000011
0.006577 0.019101 0.000010
0.006243 0.019213 0.000010
0.005907 0.019319 0.000010
0.005568 0.019419 0.000009
0.005229 0.019514 0.000008
0.004887 0.019602 0.000008
0.004544 0.019684 0.000007
0.004200 0.019761 0.000007
0.003855 0.019831 0.000006
0.003508 0.019895 0.000006
0.003160 0.019953 0.000005
0.002812 0.020005 0.000005
0.002462 0.020051 0.000004
0.002112 0.020091 0.000004
0.001761 0.020125 0.000003
0.001409 0.020153 0.000002
0.001057 0.020174 0.000002
0.000705 0.020190 0.000001
0.000353 0.020199 0.000001
0.000000 0.020202 0.000000
-0.000353 0.020199 -0.000001
-0.000705 0.020190 -0.000001
-0.001057 0.020174 -0.000002
-0.001409 0.020153 -0.000002
-0.001761 0.020125 -0.000003
-0.002112 0.020091 -0.000004
-0.002462 0.020051 -0.000004
-0.002812 0.020005 -0.000005
-0.003160 0.019953 -0.000005
-0.003508 0.019895 -0.000006
-0.003855 0.019831 -0.000006
-0.004200 0.019761 -0.000007
-0.004544 0.019684 -0.000007
-0.004887 0.019602 -0.000008
-0.005229 0.019514 -0.000008
-0.005568 0.019419 -0.000009
-0.005907 0.019319 -0.000010
-0.006243 0.019213 -0.000010
-0.006577 0.019101 -0.000010
-0.006909 0.018984 -0.000011
-0.007240 0.018860 -0.000011
-0.007568 0.018731 -0.000012
-0.007894 0.018596 -0.000012
-0.008217 0.018455 -0.000013
-0.008538 0.018309 -0.000013
-0.008856 0.018158 -0.000013
-0.009172 0.018000 -0.000014
-0.009484 0.017837 -0.000014
-0.009794 0.017669 -0.000014
-0.010101 0.017496 -0.000015
-0.010405 0.017316 -0.000015
-0.010705 0.017132 -0.000015
-0.011003 0.016943 -0.000016
-0.011297 0.016748 -0.000016
-0.011587 0.016549 -0.000016
-0.011874 0.016344 -0.000016
-0.012158 0.016134 -0.000016
-0.012438 0.015919 -0.000016
-0.012714 0.015700 -0.000017
-0.012986 0.015476 -0.000017
-0.013254 0.015247 -0.000017
-0.013518 0.015013 -0.000017
